 71 7647.400653 3.988E-31 2.634E-05.03230.036 2627.86900.780.000000       a      1       X      1                O 27P 26     d46664049221411 2 0    51.0   53.0,#,#,#,#,#,#,#,#,#,#,#
 71 7648.943448 1.432E-30 5.409E-08.03930.038 1083.43320.790.000000       a      0       X      0                N 27O 26     q54664049231411 2 0    49.0   53.0,#,#,#,#,#,#,#,#,#,#,#
 71 7660.747059 7.571E-31 2.626E-05.03450.038 2477.85490.800.000000       a      1       X      1                O 25P 24     d46664049221411 2 0    47.0   49.0,#,#,#,#,#,#,#,#,#,#,#
 71 7664.725726 2.735E-29 2.508E-05.02680.033 1803.17370.75-.004996       a      0       X      0                O 35P 34     d5544444918 8 5 2 3    67.0   69.0,#,#,#,#,#,#,#,#,#,#,#
 71 7667.887274 2.724E-30 5.386E-08.04090.040  931.74310.800.000000       a      0       X      0                N 25O 24     q54664049231411 2 0    45.0   49.0,#,#,#,#,#,#,#,#,#,#,#
 72 7671.566304 5.530E-32 2.570E-05.02540.030 1801.10380.74-.004800       a      0       X      0                O 36P 35     d55554449221411 2 3    69.0   71.0,#,#,#,#,#,#,#,#,#,#,#
 71 7673.939791 1.349E-30 2.614E-05.03680.039 2339.06440.800.000000       a      1       X      1                O 23P 22     d46664049221411 2 0    43.0   45.0,#,#,#,#,#,#,#,#,#,#,#
 72 7678.188935 8.593E-32 2.571E-05.02590.031 1704.13580.75-.004996       a      0       X      0                O 35P 34     d55554449221411 2 3    67.0   69.0,#,#,#,#,#,#,#,#,#,#,#
 71 7678.635422 6.677E-29 2.511E-05.02850.034 1606.34820.76-.004962       a      0       X      0                O 33P 32     d5544444918 8 5 2 3    63.0   65.0,#,#,#,#,#,#,#,#,#,#,#
 72 7684.778076 1.317E-31 2.573E-05.02650.032 1609.81820.75-.004800       a      0       X      0                O 34P 33     d55554449221411 2 3    65.0   67.0,#,#,#,#,#,#,#,#,#,#,#
 71 7686.699587 4.853E-30 5.350E-08.04250.041  791.40311.060.000000       a      0       X      0                N 23O 22     q54664049231411 5 0    41.0   45.0,#,#,#,#,#,#,#,#,#,#,#
 71 7686.978270 2.252E-30 2.597E-05.03920.041 2211.52010.810.000000       a      1       X      1                O 21P 20     d46664049221411 2 0    39.0   41.0,#,#,#,#,#,#,#,#,#,#,#
 72 7691.333715 1.990E-31 2.573E-05.02720.032 1518.15470.76-.004962       a      0       X      0                O 33P 32     d55554449221411 2 3    63.0   65.0,#,#,#,#,#,#,#,#,#,#,#
 71 7692.403943 1.528E-28 2.498E-05.03050.035 1420.76310.77-.004923       a      0       X      0                O 31P 30     d5544444918 8 5 2 3    59.0   61.0,#,#,#,#,#,#,#,#,#,#,#
 71 7693.696497 8.329E-32 5.441E-05.02650.032 3146.71930.750.000000       a      1       X      1                P 33P 33     d45554049221411 2 0    65.0   67.0,#,#,#,#,#,#,#,#,#,#,#
 71 7695.418515 9.123E-32 5.913E-05.02650.032 3144.99730.750.000000       a      1       X      1                P 33Q 32     d45554049221411 2 0    65.0   65.0,#,#,#,#,#,#,#,#,#,#,#
 72 7697.855831 2.965E-31 2.573E-05.02790.033 1429.14870.76-.004800       a      0       X      0                O 32P 31     d55554449221411 2 3    61.0   63.0,#,#,#,#,#,#,#,#,#,#,#
 73 7698.734210 6.678E-32 2.467E-05.02860.034 1379.73650.77-.004923       a      0       X      0                O 31P 30     d55554449251411 2 3   354.0  366.0,#,#,#,#,#,#,#,#,#,#,#
 71 7699.861823 3.512E-30 2.573E-05.04160.042 2095.24290.810.000000       a      1       X      1                O 19P 18     d46664049221411 2 0    35.0   37.0,#,#,#,#,#,#,#,#,#,#,#
 71 7701.999548 1.899E-31 5.429E-05.02790.033 2963.20690.760.000000       a      1       X      1                P 31P 31     d45554049221411 2 0    61.0   63.0,#,#,#,#,#,#,#,#,#,#,#
 71 7703.738851 2.092E-31 5.933E-05.02790.033 2961.46760.760.000000       a      1       X      1                P 31Q 30     d45554049221411 2 0    61.0   61.0,#,#,#,#,#,#,#,#,#,#,#
 72 7704.344401 4.355E-31 2.573E-05.02860.034 1342.80370.77-.004923       a      0       X      0                O 31P 30     d55554449221411 2 3    59.0   61.0,#,#,#,#,#,#,#,#,#,#,#
 73 7705.365907 9.780E-32 2.467E-05.02940.034 1293.76070.78-.004800       a      0       X      0                O 30P 29     d55554449251411 2 3   342.0  354.0,#,#,#,#,#,#,#,#,#,#,#
 71 7705.378753 8.080E-30 5.299E-08.04390.043  662.43590.810.000000       a      0       X      0                N 21O 20     q54664049231411 2 0    37.0   41.0,#,#,#,#,#,#,#,#,#,#,#
 71 7706.031043 3.306E-28 2.494E-05.03240.036 1246.44860.78-.004880       a      0       X      0                O 29P 28     d5544444918 8 5 2 3    55.0   57.0,#,#,#,#,#,#,#,#,#,#,#
 71 7710.135162 4.082E-31 5.415E-05.02940.034 2790.83880.780.000000       a      1       X      1                P 29P 29     d45554049221411 2 0    57.0   59.0,#,#,#,#,#,#,#,#,#,#,#
 72 7710.799394 6.307E-31 2.572E-05.02940.034 1259.12300.78-.004800       a      0       X      0                O 30P 29     d55554449221411 2 3    57.0   59.0,#,#,#,#,#,#,#,#,#,#,#
 71 7711.891848 4.523E-31 5.951E-05.02940.034 2789.08210.780.000000       a      1       X      1                P 29Q 28     d45554049221411 2 0    57.0   57.0,#,#,#,#,#,#,#,#,#,#,#
 73 7711.963150 1.411E-31 2.465E-05.03030.035 1210.52480.78-.004880       a      0       X      0                O 29P 28     d55554449251411 2 3   330.0  342.0,#,#,#,#,#,#,#,#,#,#,#
 71 7712.589698 5.096E-30 2.539E-05.04380.043 1990.25170.830.000000       a      1       X      1                O 17P 16     d46664049221411 2 0    31.0   33.0,#,#,#,#,#,#,#,#,#,#,#
 72 7717.220771 9.002E-31 2.571E-05.03030.035 1178.10970.78-.004880       a      0       X      0                O 29P 28     d55554449221411 2 3    55.0   57.0,#,#,#,#,#,#,#,#,#,#,#
 71 7718.104051 8.262E-31 5.395E-05.03130.036 2629.64320.780.000000       a      1       X      1                P 27P 27     d45554049221411 2 0    53.0   55.0,#,#,#,#,#,#,#,#,#,#,#
 73 7718.525896 2.006E-31 2.464E-05.03130.036 1130.03180.78-.004800       a      0       X      0                O 28P 27     d55554449251411 2 3   318.0  330.0,#,#,#,#,#,#,#,#,#,#,#
 71 7719.516368 6.741E-28 2.492E-05.03450.037 1083.43320.78-.004833       a      0       X      0                O 27P 26     d5544444918 8 5 2 3    51.0   53.0,#,#,#,#,#,#,#,#,#,#,#
 71 7719.878235 9.219E-31 5.971E-05.03130.036 2627.86900.780.000000       a      1       X      1                P 27Q 26     d45554049221411 2 0    53.0   53.0,#,#,#,#,#,#,#,#,#,#,#
 72 7723.608490 1.266E-30 2.568E-05.03130.036 1099.76710.78-.004800       a      0       X      0                O 28P 27     d55554449221411 2 3    53.0   55.0,#,#,#,#,#,#,#,#,#,#,#
 71 7723.923053 1.253E-29 5.228E-08.04530.044  544.86220.870.000000       a      0       X      0                N 19O 18     q54664049231411 2 0    33.0   37.0,#,#,#,#,#,#,#,#,#,#,#
 73 7725.054092 2.809E-31 2.461E-05.03230.036 1052.28500.78-.004833       a      0       X      0                O 27P 26     d56664449251411 2 3   306.0  318.0,#,#,#,#,#,#,#,#,#,#,#
 71 7725.161089 6.844E-30 2.491E-05.04590.045 1896.56370.830.000000       a      1       X      1                O 15P 14     d46664049221411 2 0    27.0   29.0,#,#,#,#,#,#,#,#,#,#,#
 71 7725.906806 1.573E-30 5.370E-05.03330.037 2479.64680.790.000000       a      1       X      1                P 25P 25     d46664049221411 2 0    49.0   51.0,#,#,#,#,#,#,#,#,#,#,#
 71 7727.698629 1.769E-30 5.989E-05.03330.037 2477.85490.790.000000       a      1       X      1                P 25Q 24     d46664049221411 2 0    49.0   49.0,#,#,#,#,#,#,#,#,#,#,#
 72 7729.962503 1.756E-30 2.566E-05.03230.036 1024.09810.78-.004833       a      0       X      0                O 27P 26     d56664449221411 2 3    51.0   53.0,#,#,#,#,#,#,#,#,#,#,#
 73 7731.547681 3.875E-31 2.458E-05.03330.037  977.28750.79-.004800       a      0       X      0                O 26P 25     d56664449251411 2 3   294.0  306.0,#,#,#,#,#,#,#,#,#,#,#
 71 7732.859459 1.287E-27 2.478E-05.03650.040  931.74310.79-.004780       a      0       X      0                O 25P 24     d5544444918 8 5 2 3    47.0   49.0,#,#,#,#,#,#,#,#,#,#,#
